Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C15, C8, C9",0402,7,100nF,C1525
"C12, C14, C16, C17, C18, C19, C20, C21",0402,8,22nF,C1532
"C2, C3",0402,2,15pF,C1548
"C4, C7",0402,2,18pF,C1549
"C5, C6",0805,2,1uF,C28323
D1,0805,1,GREEN,C2297
FB1,0603,1,FerriteBead_Small,C14709
"J1, J3",PinHeader_1x17_P2.54mm_Vertical,2,Conn_01x17_Pin,
J2,PinHeader_1x04_P2.54mm_Vertical,1,NC,
J20,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,1,I_IN,C5301850
J21,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,1,Q_IN,C5301850
J4,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB2.0_16P,C2894897
J5,PinHeader_2x03_P2.54mm_Vertical,1,Boot,
J6,PinHeader_1x02_P2.54mm_Vertical,1,NC,
"L1, L2, L3, L4",0805,4,10uH,C1046
"R1, R2, R4, R7",0402,4,10k,C25744
"R13, R14",0402,2,5k1,C25905 
R3,0402,1,1k5,C25867
SW3,SW_SPST_TL3342,1,BTN,C318884
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U5,SOT-23-5,1,MIC5504-3.3YM5,C3021093
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz,C5308002
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32768Hz,C32346
